編號,原文,臺灣用語,大陸用語,其他用語,
3650,frame checking sequence	,框檢查順序,,,
3651,frame code,框碼,,,
3652,frame connector,框連接器,,,
3653,frame control field,框控制欄位,幀控制字段 ,,
3654,frame count,框計數,,,
3655,frame creation terminal,建框終端機,,,
3656,frame default,框內定值,,,
3657,frame delimiting sequence,框定界序列,,,
3658,frame dependent control	,框相依控制,,,
3659,frame description,框架描述,,,
3660,frame driven dialog system,框驅動對話系統,,,
3661,frame encapsulation,框封裝,幀封裝 ,,
3662,frame end delimiter,框端定界符,幀尾定界符 ,,
3663,frame error,框錯誤,,,
3664,frame format,框格式,幀格式 ,,
3665,frame format relationship,框格式關係,,,
3666,frame free representation,無框表示,,,
3667,frame frequency,框頻,幀頻 ,,
3668,frame grabber,框接收器,,,
3669,frame grabbing,框取,,,
3670,frame grammar,框文法,框架語法 ,,
3671,frame ground,框架地線；機殼接地,,,
3672,frame grounding circuit,框架接地電路,,,
3673,frame handler,框處置器,,,
3674,frame handling function,框處置函數,,,
3675,frame header,框標頭,,,
3676,frame hole,框架孔,,,
3677,frame in,框入,,,
3678,frame inheritance,框的繼承,,,
3679,frame interlace,框交織,,,
3680,frame knowledge,框邊緣,,,
3681,frame knowledge representation,框知識表示,框架知識表示 ,,
3682,frame level,框位準,,,
3683,frame level data,框位準資料,,,
3684,frame level function,框位準功能,,,
3685,frame level interface,框位準介面,,,
3686,frame level procedure,框位準程序,,,
3687,frame like slot array,框架式槽陣列,,,
3688,frame like theory,框架式理論,,,
3689,frame line,框線,,,
3690,frame name,框名,,,
3691,frame number,框號碼,,,
3692,frame oriented approach,框導向方法,,,
3693,frame output,框輸出,,,
3694,frame pitch,框間距,,,
3695,frame pointer	,框指標,,,
3696,frame problem,框問題,幀面問題 ,,
3697,frame rate,框速率,幀率 ,,
3698,frame related attribute,框相關屬性,,,
3699,frame relay	,訊框中繼,,,
3700,frame relaying network,訊框中繼網路,幀中繼網 ,,
3701,frame repetition frequency	,框重複頻率,,,
3702,frame representation,框表示法,,,
3703,frame representation language	,框表示語言,,,
3704,frame size,框大小,,,
3705,frame slot,框槽,,,
3706,frame slot default,框槽內定值,,,
3707,frame start,框起始,,,
3708,frame start delimiter,框起始定界符,幀首定界符 ,,
3709,frame statement,框敘述,,,
3710,frame store,框儲存,,,
3711,frame structure,框結構,,,
3712,frame synchronizer,框同步器,,,
3713,frame synchronizing pulse,框同步脈衝,,,
3714,frame system,框系統,,,
3715,frame table entry	,框表入口,,,
3716,frame theory,框理論,框架理論 ,,
3717,frame theory model,框理論模型,,,
3718,frame timing,框計時,,,
3719,frame transmission,框傳輸,,,
3720,frame type A,A型框架,,,
3721,frame type B,B型框架,,,
3722,frame type	,框類型,,,
3723,framed interface,框介面,幀[結構]接口 ,,
3724,frames per second,每秒框數,幀每秒 ,,
3725,frames received in error,接收框錯誤數,,,
3726,frame-slot-facet access path,框槽面存取路徑,,,
3727,framework,框架,框架 ,,
3728,framework for language evolution,語言進化架構,,,
3729,framing,成框；分框,,,
3730,framing bits,成框位元,,,
3731,framing character,成框字元,,,
3732,framing code,成框碼,,,
3733,framing error	,成框誤差,,,
