編號,原文,臺灣用語,大陸用語,其他用語,
260,elapsed processing time,處理經過時間,,,
261,elapsed time,耗時；經過時間,,,
262,elapsed time measurement,經過時間測量,,,
263,elapsed time value,經過時間值,,,
264,elapsed timer,經過計時器,,,
265,elastic buffer,彈性緩衝器,,,
266,elastic memory distributor,彈性記憶分配器,,,
267,elastic store,彈性儲存器,,,
268,elasticity,彈性,,,
269,election,選擇,,,
270,electret,駐極體,,,
271,electric,電,,,
272,electric accounting machine,電子計帳機,,,
273,electric battery,電池,,,
274,electric cable,電纜,,,
275,electric calculating machine,電子計算機,,,
276,electric cash register,電子現金收銀機,,,
277,electric charge,電荷,,,
278,electric current,電流,,,
279,electric current density,電流密度,,,
280,electric current measurement,電流測量,,,
281,electric delay line,電延遲線,,,
282,electric diaphragm switch,電子薄膜開關,,,
283,electric discharge printer,放電式列印機,電灼式印刷機 ,,
284,electric displacement density,電子位移密度,,,
285,electric double layer,電子雙層,,,
286,electric doublet,電偶極,,,
287,electric field,電場,,,
288,electric field force,電場力,,,
289,electric machine CAD,電機的計算機輔助設計,,,
290,electric moment,電矩,,,
291,electric motor,電動馬達,,,
292,electric permittivity,電容率,,,
293,electric polarization,電極化（作用）,,,
294,electric power research institute,電力研究學會,,,
295,electric power supply,電源供應,,,
296,electric robot,電子機器人,,,
297,electric spark,電子火花,,,
298,electric transducer,變電器,,,
299,electric typewriter,電動打字機,,,
300,electric video-signal technique,電子視頻信號處理技術,,,
301,electrical accounting machine,電子記帳機,,,
302,electrical adder,電子加法器,,,
303,electrical analog,電子類比,,,
304,electrical analogy,電子類比,,,
305,electrical brush,電刷,,,
306,electrical circuit,電路,,,
307,electrical communication,電子通訊,,,
308,electrical computer,電子計算機,,,
309,electrical conductivity,導電性,,,
310,electrical conductor,電導體,,,
311,electrical connector,電連接器,,,
312,electrical contact,電接頭,,,
313,electrical degree,電度,,,
314,electrical diagram schematic,電路簡圖,,,
315,electrical engineering,電子工程,,,
316,electrical insulation,電絕緣,,,
317,electrical interface,電子介面,,,
318,electrical interference,電子干擾,,,
319,electrical KiloWatts,千瓦,,,
