編號,原文,臺灣用語,大陸用語,其他用語,
2157,order release update,訂單發放更新,,,
2158,order release with shop packet,附現場文件之訂單發放,,,
2159,order release/review,訂單發放／覆查,,,
2160,order release－segment status,訂單發放－段狀態,,,
2161,order release－summary selection,訂單發放－彙總選擇,,,
2162,order review status,訂單覆查狀態,,,
2163,order sequence,命令序列,,,
2164,order set,命令集,,,
2165,order shortage report,訂單短缺報表,,,
2166,order source,訂單來源,,,
2167,order starting date,訂單開始日期,,,
2168,order starting date adjusted to calendar date,訂單開始日期調整至日曆日期,,,
2169,order statistic test,次序統計測試,,,
2170,order status,訂單狀態,,,
2171,order status tracking,訂單狀態追蹤,,,
2172,order structure,次序結構；命令結構,,,
2173,order summary,訂單彙總,,,
2174,order tracking date,訂單追蹤日期,,,
2175,order waiting vendor confirmation report,等候供應商確認之訂單報表,,,
2176,order wire,命令線,,,
2177,order wire circuit,命令線電路,,,
2178,order wire key,命令線鍵,,,
2179,order wire printer,命令線列印機,,,
2180,order wire signal,命令線信號,,,
2181,ordered circular list,有序循環串列,,,
2182,ordered clause,有序子句,,,
2183,ordered code element string,有序之碼元素串,,,
2184,ordered data,有序資料,,,
2185,ordered enumerated type,有序枚舉類型,,,
2186,ordered Hadamard transform,有序哈達碼變換,,,
2187,ordered key-element string,有序之鍵元素串,,,
2188,ordered n-tuple,有序n元組,,,
2189,ordered random access talking equipment	,有序隨機存取通話設備,,,
2190,ordered retrieval,有序檢索,,,
2191,ordered search,有序搜尋,有序搜索 ,,
2192,ordered search algorithm,有序搜尋算法,,,
2193,ordered seek queuing,有序尋覓佇列,,,
2194,ordered sequence,有序序列,,,
2195,ordered serial file,有序串列檔案,,,
2196,ordered set,有序集合,,,
2197,ordered tape file,有序磁帶檔案,,,
2198,ordered tree,有序樹,,,
2199,ordered word,有序字,,,
2200,ordering,定序；排序,排序 ,,
2201,ordering bias,定序偏移；排序偏差；排序偏移,,,
2202,ordering by merging,合併排序,,,
2203,ordering constant identifier,常數識別符定序,,,
2204,ordering cost,訂購成本,,,
2205,ordering for term-rewriting system,項重寫系統排序,,,
2206,ordering of entries,登錄定序,,,
2207,ordering of segments,段定序,,,
2208,ordering point system,定購點系統,,,
2209,ordering statement,定序敘述,,,
2210,ordering strategy,定序策略,排序策略 ,,
2211,orderly close-down,按序關閉,,,
2212,orderly start,按序起動,,,
2213,ordinal,序數的,,,
2214,ordinal number,序數號碼,,,
2215,ordinal position,序數位置,,,
2216,ordinal type,序數型式,,,
2217,ordinary binary,平常二進位；普通二進制,,,
2218,ordinary least square,平常最小平方,,,
2219,ordinary privileged slave program,平常特許從屬程式,,,
2220,ordinary privileged slave request,平常特許從屬請求,,,
2221,ordinary ray,普通射線；普通光線,,,
2222,ordinary symbol,平常符號,,,
2223,ordinate,縱坐標,,,
2224,ordnance variable automatic computer	,軍械用可變自動計算機,,,
2225,OR-flip-latch function,或倒裝閂函數；或倒裝鎖存功能‵,,,
2226,organic photo conductor	,光導體,,,
2227,organic semiconductor,有機半導體,,,
2228,organization,組織；結構；機構；公司,,,
2229,organization chart,組織圖；結構圖,,,
2230,organization clause,組織子句,,,
2231,organization definition,組織定義,,,
2232,organization for European economic cooperation	,歐洲經濟合作組織,,,
2233,organization identification code	,組織識別碼,,,
2234,organization instruction,組織指令,,,
2235,organization of information,資訊組織,,,
2236,organization of semiconductor memory,半導體記憶體組織,,,
2237,organization of system,系統組織,,,
2238,organization plan,組織計畫,,,
2239,organization unique identifier,組織唯一識別符,組織惟一標識符 ,,
2240,organizational concatenated network	,組織的連接網路,,,
2241,organizational control,組織控制,,,
2242,organizational interface,組織介面,組織界面 ,,
2243,organizational process,組織過程,組織過程 ,,
2244,organizational program and technique,有組織的程式及技術,,,
2245,orientation,定向；方位；校準,,,
2246,orientation coating disk,定向塗層磁碟,,,
2247,orientation execution code	,定向執行碼,,,
2248,orientation of polygon,多邊形定向,多邊形取向 ,,
