編號,原文,臺灣用語,大陸用語,其他用語,
612,cash discount,現金折扣,,,
613,cash dispenser,提款機,,,
614,cash flow,現金流程；現金流量,,,
615,cash flow report,現金流程報表,,,
616,cash in,現金收入,,,
617,cash on delivery,交貨付款,,,
618,cash on shipment,裝貨付款,,,
619,cash out,現金支出,,,
620,cash receipt tape,現金接收帶,,,
621,cash register,現金收銀機,,,
622,cash requirements report,現金需求報表,,,
623,cash sale,現金銷售,,,
624,cash send,現金發送,,,
625,cashier mode,出納員模式,,,
626,cashless society,無現金社會,,,
627,cashless system,無現金制,,,
628,cassette,卡式,卡式(磁帶),,
629,cassette diagnostic,卡式診斷,,,
630,cassette disc,卡式磁碟,,,
631,cassette disk,卡式磁碟,,,
632,cassette drive,卡式驅動機,,,
633,cassette film,卡式軟片,,,
634,cassette interface,卡式介面,,,
635,cassette interrecord gap,卡式記錄間隙,,,
636,cassette magnetic tape,卡式磁帶,卡式磁帶 ,,
637,cassette recorder,卡式記錄器；卡式錄音機器,,,
638,cassette tape,卡式磁帶,,,
639,cassette tape unit,卡式帶單元,,,
640,cassette unit,卡式裝置,,,
641,cassette videotape,卡式錄影帶,,,
642,cast of symbol,符號鑄型,,,
643,cast off,估計原稿所佔篇幅,,,
644,cast operator,鑄型運算子,,,
645,cast system,鑄型系統,,,
646,caster,腳輪,,,
647,casting out nines check,除九餘數核對,,,
648,casual clearing station,非正式清除站,,,
649,casual inspection,不定期檢驗,,,
650,casual network user,非正式網路用戶,,,
651,casual user,非正式用戶,,,
652,casuality,非正式,,,
653,casualty report,故障報告,,,
654,catalanguage,目標語言,,,
655,catalog,目錄；編目,,,
656,catalog file descriptor,目錄檔案描述符,,,
657,catalog file string,目錄檔案串,,,
658,catalog file string error,目錄檔案串錯誤,,,
659,catalog listing,目錄列表,,,
660,catalog memory,目錄記憶體,,,
661,catalog record,目錄記錄,,,
662,catalog search,目錄搜尋,,,
663,cataloged data set,編目資料集,,,
664,cataloged file,編目檔案,,,
665,cataloged load module,編目載入模組,,,
666,cataloged load module file,編目載入模組檔案,,,
667,cataloged permanent file,編目永久檔案,,,
668,cataloged priority,編目優先級,,,
669,cataloged procedure,編目程序,,,
670,cataloged program,編目程式,,,
671,cataloger,編目器,,,
672,cataloging,編目,,,
